SolicitudID; Nro solicitud;EnsayoID;ensayo solicitado ;Fecha de creación;Forma de pago;ClienteId;RazonSocial;CUIT_CUIL;EspecieNombre;Condicion_semilla;Fecha inicio ensayo;FechaFinalizacion;Variedad;Baja;PG (normales)%;Año;Moneda;precio_lista;Porcentaje de Bonificación
23;367935;12;Poder Germinativo Nidera Soja;2020-06-22 07:46:36.933;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 07:46:36.933;2020-06-30 00:00:00.000;NIDERA NS 6120 IPRO;;98.0;2020;ARS;4300.0;
24;367935;13;Pureza Física Nidera Soja;2020-06-22 07:46:36.933;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 07:46:36.933;2020-06-30 00:00:00.000;NIDERA NS 6120 IPRO;;;2020;ARS;3800.0;
25;367936;12;Poder Germinativo Nidera Soja;2020-06-22 07:48:40.637;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 07:48:40.637;2020-06-30 00:00:00.000;NIDERA NS 6120 IPRO;;99.0;2020;ARS;4300.0;
26;367936;13;Pureza Física Nidera Soja;2020-06-22 07:48:40.637;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 07:48:40.637;2020-06-30 00:00:00.000;NIDERA NS 6120 IPRO;;;2020;ARS;3800.0;
27;367937;12;Poder Germinativo Nidera Soja;2020-06-22 07:50:20.550;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 07:50:20.550;2020-06-30 00:00:00.000;NIDERA NS 6120 IPRO;;97.0;2020;ARS;4300.0;
28;367937;12;Poder Germinativo Nidera Soja;2020-06-22 07:50:20.550;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 07:50:20.550;2020-06-30 00:00:00.000;NIDERA NS 6120 IPRO;;97.0;2020;ARS;4300.0;
29;367937;13;Pureza Física Nidera Soja;2020-06-22 07:50:20.550;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 07:50:20.550;2020-06-30 00:00:00.000;NIDERA NS 6120 IPRO;;;2020;ARS;3800.0;
30;367937;13;Pureza Física Nidera Soja;2020-06-22 07:50:20.550;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 07:50:20.550;2020-06-30 00:00:00.000;NIDERA NS 6120 IPRO;;;2020;ARS;3800.0;
31;367938;12;Poder Germinativo Nidera Soja;2020-06-22 07:54:34.050;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 07:54:34.050;2020-06-30 00:00:00.000;NIDERA NS 6120 IPRO;;99.0;2020;ARS;4300.0;
32;367938;13;Pureza Física Nidera Soja;2020-06-22 07:54:34.050;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 07:54:34.050;2020-06-30 00:00:00.000;NIDERA NS 6120 IPRO;;;2020;ARS;3800.0;
33;367939;12;Poder Germinativo Nidera Soja;2020-06-22 07:57:03.137;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 07:57:03.137;2020-06-30 00:00:00.000;NIDERA NS 6120 IPRO;;99.0;2020;ARS;4300.0;
34;367939;13;Pureza Física Nidera Soja;2020-06-22 07:57:03.137;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 07:57:03.137;2020-06-30 00:00:00.000;NIDERA NS 6120 IPRO;;;2020;ARS;3800.0;
35;367940;12;Poder Germinativo Nidera Soja;2020-06-22 07:59:29.687;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 07:59:29.687;2020-06-30 00:00:00.000;NIDERA NS 6120 IPRO;;98.0;2020;ARS;4300.0;
36;367940;13;Pureza Física Nidera Soja;2020-06-22 07:59:29.687;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 07:59:29.687;2020-06-30 00:00:00.000;NIDERA NS 6120 IPRO;;;2020;ARS;3800.0;
37;367941;12;Poder Germinativo Nidera Soja;2020-06-22 08:01:50.453;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:01:50.453;2020-06-30 00:00:00.000;NIDERA NS 5258;;98.0;2020;ARS;4300.0;
38;367941;13;Pureza Física Nidera Soja;2020-06-22 08:01:50.453;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:01:50.453;2020-06-30 00:00:00.000;NIDERA NS 5258;;;2020;ARS;3800.0;
39;367942;12;Poder Germinativo Nidera Soja;2020-06-22 08:06:37.013;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:06:37.013;2020-06-30 00:00:00.000;NIDERA NS 5258;;97.0;2020;ARS;4300.0;
40;367942;13;Pureza Física Nidera Soja;2020-06-22 08:06:37.013;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:06:37.013;2020-06-30 00:00:00.000;NIDERA NS 5258;;;2020;ARS;3800.0;
41;367943;12;Poder Germinativo Nidera Soja;2020-06-22 08:08:30.767;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:08:30.767;2020-06-30 00:00:00.000;NIDERA NS 5258;;97.0;2020;ARS;4300.0;
42;367943;13;Pureza Física Nidera Soja;2020-06-22 08:08:30.767;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:08:30.767;2020-06-30 00:00:00.000;NIDERA NS 5258;;;2020;ARS;3800.0;
43;367944;12;Poder Germinativo Nidera Soja;2020-06-22 08:10:32.673;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:10:32.673;2020-06-30 00:00:00.000;NIDERA NS 5258;;91.0;2020;ARS;4300.0;
44;367944;13;Pureza Física Nidera Soja;2020-06-22 08:10:32.673;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:10:32.673;2020-06-30 00:00:00.000;NIDERA NS 5258;;;2020;ARS;3800.0;
45;367945;12;Poder Germinativo Nidera Soja;2020-06-22 08:12:07.563;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:12:07.563;2020-06-30 00:00:00.000;NIDERA NS 5258;;99.0;2020;ARS;4300.0;
46;367945;13;Pureza Física Nidera Soja;2020-06-22 08:12:07.563;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:12:07.563;2020-06-30 00:00:00.000;NIDERA NS 5258;;;2020;ARS;3800.0;
47;367946;12;Poder Germinativo Nidera Soja;2020-06-22 08:13:53.563;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:13:53.563;2020-06-30 00:00:00.000;NIDERA NS 5258;;98.0;2020;ARS;4300.0;
48;367946;13;Pureza Física Nidera Soja;2020-06-22 08:13:53.563;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:13:53.563;2020-06-30 00:00:00.000;NIDERA NS 5258;;;2020;ARS;3800.0;
49;367947;12;Poder Germinativo Nidera Soja;2020-06-22 08:17:15.617;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:17:15.617;2020-07-02 00:00:00.000;NIDERA NS 6859 IPRO;;98.0;2020;ARS;4300.0;
50;367947;13;Pureza Física Nidera Soja;2020-06-22 08:17:15.617;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:17:15.617;2020-07-02 00:00:00.000;NIDERA NS 6859 IPRO;;;2020;ARS;3800.0;
51;367948;12;Poder Germinativo Nidera Soja;2020-06-22 08:20:28.597;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:20:28.597;2020-06-30 00:00:00.000;NIDERA NS 6859 IPRO;;99.0;2020;ARS;4300.0;
52;367948;13;Pureza Física Nidera Soja;2020-06-22 08:20:28.597;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:20:28.597;2020-06-30 00:00:00.000;NIDERA NS 6859 IPRO;;;2020;ARS;3800.0;
53;367949;12;Poder Germinativo Nidera Soja;2020-06-22 08:23:03.833;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:23:03.833;2020-06-30 00:00:00.000;NIDERA NS 6859 IPRO;;95.0;2020;ARS;4300.0;
54;367949;13;Pureza Física Nidera Soja;2020-06-22 08:23:03.833;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:23:03.833;2020-06-30 00:00:00.000;NIDERA NS 6859 IPRO;;;2020;ARS;3800.0;
55;367950;12;Poder Germinativo Nidera Soja;2020-06-22 08:24:55.113;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:24:55.113;2020-06-30 00:00:00.000;NIDERA NS 6859 IPRO;;94.0;2020;ARS;4300.0;
56;367950;12;Poder Germinativo Nidera Soja;2020-06-22 08:24:55.113;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:24:55.113;2020-06-30 00:00:00.000;NIDERA NS 6859 IPRO;;94.0;2020;ARS;4300.0;
57;367950;13;Pureza Física Nidera Soja;2020-06-22 08:24:55.113;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:24:55.113;2020-06-30 00:00:00.000;NIDERA NS 6859 IPRO;;;2020;ARS;3800.0;
58;367950;13;Pureza Física Nidera Soja;2020-06-22 08:24:55.113;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:24:55.113;2020-06-30 00:00:00.000;NIDERA NS 6859 IPRO;;;2020;ARS;3800.0;
59;367951;12;Poder Germinativo Nidera Soja;2020-06-22 08:26:50.950;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:26:50.950;2020-06-30 00:00:00.000;NIDERA NS 6859 IPRO;;98.0;2020;ARS;4300.0;
60;367951;12;Poder Germinativo Nidera Soja;2020-06-22 08:26:50.950;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:26:50.950;2020-06-30 00:00:00.000;NIDERA NS 6859 IPRO;;98.0;2020;ARS;4300.0;
61;367951;13;Pureza Física Nidera Soja;2020-06-22 08:26:50.950;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:26:50.950;2020-06-30 00:00:00.000;NIDERA NS 6859 IPRO;;;2020;ARS;3800.0;
62;367951;13;Pureza Física Nidera Soja;2020-06-22 08:26:50.950;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:26:50.950;2020-06-30 00:00:00.000;NIDERA NS 6859 IPRO;;;2020;ARS;3800.0;
63;367952;12;Poder Germinativo Nidera Soja;2020-06-22 08:29:02.320;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:29:02.320;2020-06-30 00:00:00.000;NIDERA NS 6859 IPRO;;96.0;2020;ARS;4300.0;
64;367952;13;Pureza Física Nidera Soja;2020-06-22 08:29:02.320;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:29:02.320;2020-06-30 00:00:00.000;NIDERA NS 6859 IPRO;;;2020;ARS;3800.0;
65;367953;12;Poder Germinativo Nidera Soja;2020-06-22 08:30:58.140;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:30:58.140;2020-06-30 00:00:00.000;NIDERA NS 5258;;99.0;2020;ARS;4300.0;
66;367953;13;Pureza Física Nidera Soja;2020-06-22 08:30:58.140;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:30:58.140;2020-06-30 00:00:00.000;NIDERA NS 5258;;;2020;ARS;3800.0;
67;367954;12;Poder Germinativo Nidera Soja;2020-06-22 08:34:56.353;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:34:56.353;2020-06-30 00:00:00.000;NIDERA NS 5258;;95.0;2020;ARS;4300.0;
68;367954;13;Pureza Física Nidera Soja;2020-06-22 08:34:56.353;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:34:56.353;2020-06-30 00:00:00.000;NIDERA NS 5258;;;2020;ARS;3800.0;
69;367955;12;Poder Germinativo Nidera Soja;2020-06-22 08:39:01.427;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:39:01.427;2020-06-30 00:00:00.000;NIDERA NS 5258;;98.0;2020;ARS;4300.0;
70;367955;13;Pureza Física Nidera Soja;2020-06-22 08:39:01.427;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:39:01.427;2020-06-30 00:00:00.000;NIDERA NS 5258;;;2020;ARS;3800.0;
71;367956;12;Poder Germinativo Nidera Soja;2020-06-22 08:40:44.693;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:40:44.693;2020-06-30 00:00:00.000;NIDERA NS 5258;;99.0;2020;ARS;4300.0;
72;367956;13;Pureza Física Nidera Soja;2020-06-22 08:40:44.693;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:40:44.693;2020-06-30 00:00:00.000;NIDERA NS 5258;;;2020;ARS;3800.0;
73;367957;12;Poder Germinativo Nidera Soja;2020-06-22 08:43:15.860;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:43:15.860;2020-06-30 00:00:00.000;NIDERA NS 5258;;98.0;2020;ARS;4300.0;
74;367957;13;Pureza Física Nidera Soja;2020-06-22 08:43:15.860;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:43:15.860;2020-06-30 00:00:00.000;NIDERA NS 5258;;;2020;ARS;3800.0;
75;367958;12;Poder Germinativo Nidera Soja;2020-06-22 08:45:46.157;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:45:46.157;2020-06-30 00:00:00.000;NIDERA NS 5258;;98.0;2020;ARS;4300.0;
76;367958;13;Pureza Física Nidera Soja;2020-06-22 08:45:46.157;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:45:46.157;2020-06-30 00:00:00.000;NIDERA NS 5258;;;2020;ARS;3800.0;
77;367959;12;Poder Germinativo Nidera Soja;2020-06-10 11:30:14.743;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-10 11:30:14.743;2020-06-23 00:00:00.000;NIDERA NS 5258;;98.0;2020;ARS;4300.0;
78;367959;13;Pureza Física Nidera Soja;2020-06-10 11:30:14.743;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-10 11:30:14.743;2020-06-23 00:00:00.000;NIDERA NS 5258;;;2020;ARS;3800.0;
79;367960;12;Poder Germinativo Nidera Soja;2020-06-22 08:54:18.597;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:54:18.597;2020-07-02 00:00:00.000;NIDERA NS 5258;;98.0;2020;ARS;4300.0;
80;367960;13;Pureza Física Nidera Soja;2020-06-22 08:54:18.597;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:54:18.597;2020-07-02 00:00:00.000;NIDERA NS 5258;;;2020;ARS;3800.0;
81;367961;12;Poder Germinativo Nidera Soja;2020-06-22 08:59:13.813;;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:59:13.813;2020-07-02 00:00:00.000;NIDERA NS 5258;;96.0;2020;ARS;4300.0;
82;367961;13;Pureza Física Nidera Soja;2020-06-22 08:59:13.813;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 08:59:13.813;2020-07-02 00:00:00.000;NIDERA NS 5258;;;2020;ARS;3800.0;
83;367962;12;Poder Germinativo Nidera Soja;2020-06-22 09:02:15.350;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 09:02:15.350;2020-06-30 00:00:00.000;NIDERA NS 5258;;100.0;2020;ARS;4300.0;
84;367962;13;Pureza Física Nidera Soja;2020-06-22 09:02:15.350;;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 09:02:15.350;2020-06-30 00:00:00.000;NIDERA NS 5258;;;2020;ARS;3800.0;
85;367963;12;Poder Germinativo Nidera Soja;2020-06-22 09:04:12.363;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 09:04:12.363;2020-06-30 00:00:00.000;NIDERA NS 6120 IPRO;;100.0;2020;ARS;4300.0;
86;367963;13;Pureza Física Nidera Soja;2020-06-22 09:04:12.363;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 09:04:12.363;2020-06-30 00:00:00.000;NIDERA NS 6120 IPRO;;;2020;ARS;3800.0;
87;367964;12;Poder Germinativo Nidera Soja;2020-06-22 09:05:57.790;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 09:05:57.790;2020-06-30 00:00:00.000;NIDERA NS 6120 IPRO;;99.0;2020;ARS;4300.0;
88;367964;13;Pureza Física Nidera Soja;2020-06-22 09:05:57.790;;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 09:05:57.790;2020-06-30 00:00:00.000;NIDERA NS 6120 IPRO;;;2020;ARS;3800.0;
89;367965;12;Poder Germinativo Nidera Soja;2020-06-22 09:07:17.180;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 09:07:17.180;2020-06-30 00:00:00.000;NIDERA NS 6120 IPRO;;99.0;2020;ARS;4300.0;
90;367965;13;Pureza Física Nidera Soja;2020-06-22 09:07:17.180;Cuenta corriente;4237;Ignacio Sosa;20-61700055-9;Soja;natural;2020-06-22 09:07:17.180;2020-06-30 00:00:00.000;NIDERA NS 6120 IPRO;;;2020;ARS;3800.0;
91;367967;20;Poder germinativo sin curar;2020-06-16 07:16:51.383;Transferencia bancaria;4673;Agropecuaria San Luis S.A.;30-42862209-7;Alfalfa;natural;2020-06-16 07:16:51.383;NULL;MONARCA;1;88.0;2020;ARS;4300.0;
92;367967;20;Poder germinativo sin curar;2020-06-16 07:16:51.383;Transferencia bancaria;4673;Agropecuaria San Luis S.A.;30-42862209-7;Alfalfa;natural;2020-06-16 07:16:51.383;NULL;MONARCA;1;88.0;2020;ARS;4300.0;
93;367967;20;Poder germinativo sin curar;2020-06-16 07:16:51.383;Transferencia bancaria;4673;Agropecuaria San Luis S.A.;30-42862209-7;Alfalfa;natural;2020-06-16 07:16:51.383;2020-07-17 00:00:00.000;MONARCA;;88.0;2020;ARS;4300.0;
94;367967;23;Primer Conteo;2020-06-16 07:16:51.383;Transferencia bancaria;4673;Agropecuaria San Luis S.A.;30-42862209-7;Alfalfa;natural;2020-06-16 07:16:51.383;2020-07-17 00:00:00.000;MONARCA;;;2020;ARS;1000;
95;367967;23;Primer Conteo;2020-06-16 07:16:51.383;Transferencia bancaria;4673;Agropecuaria San Luis S.A.;30-42862209-7;Alfalfa;natural;2020-06-16 07:16:51.383;NULL;MONARCA;1;;2020;ARS;1000;
96;367967;23;Primer Conteo;2020-06-16 07:16:51.383;Transferencia bancaria;4673;Agropecuaria San Luis S.A.;30-42862209-7;Alfalfa;natural;2020-06-16 07:16:51.383;NULL;MONARCA;1;;2020;ARS;1000;
97;367967;5;Pureza Física;2020-06-16 07:16:51.383;Transferencia bancaria;4673;Agropecuaria San Luis S.A.;30-42862209-7;Alfalfa;natural;2020-06-16 07:16:51.383;NULL;MONARCA;1;;2020;ARS;3800.0;
98;367967;5;Pureza Física;2020-06-16 07:16:51.383;Transferencia bancaria;4673;Agropecuaria San Luis S.A.;30-42862209-7;Alfalfa;natural;2020-06-16 07:16:51.383;NULL;MONARCA;1;;2020;ARS;3800.0;
99;367967;5;Pureza Física;2020-06-16 07:16:51.383;Transferencia bancaria;4673;Agropecuaria San Luis S.A.;30-42862209-7;Alfalfa;natural;2020-06-16 07:16:51.383;2020-07-17 00:00:00.000;MONARCA;1;;2020;ARS;3800.0;
100;368030;1;Poder Germinativo sin curar;2020-06-12 13:15:30.257;Cuenta corriente;4396;Semillera del Litoral S.A.;30-50785405-4;Soja;natural;2020-06-12 13:15:30.257;2020-06-24 00:00:00.000;;;99.0;2020;ARS;4300.0;
101;368050;12;Poder Germinativo Nidera Soja;2020-06-22 11:39:56.793;Cuenta corriente;392;Semillera del Litoral S.A.;33-94374605-9;Soja;natural;2020-06-22 11:39:56.793;2020-06-30 00:00:00.000;NIDERA NS 5028 STS;;97.0;2020;ARS;4300.0;
102;368050;13;Pureza Física Nidera Soja;2020-06-22 11:39:56.793;Cuenta corriente;392;Semillera del Litoral S.A.;33-94374605-9;Soja;natural;2020-06-22 11:39:56.793;2020-06-30 00:00:00.000;NIDERA NS 5028 STS;;;2020;ARS;3800.0;
103;368051;12;Poder Germinativo Nidera Soja;2020-06-22 11:43:44.620;Cuenta corriente;392;Semillera del Litoral S.A.;33-94374605-9;Soja;natural;2020-06-22 11:43:44.620;2020-06-30 00:00:00.000;NIDERA NS 5028 STS;;94.0;2020;ARS;4300.0;
